platform,type,title,director,cast,country,release_year,rating,duration_minutes,num_seasons,genres,keywords,data_quality
Netflix,Movie,#Alive,Cho Il,"Yoo Ah-In, Park Shin-Hye",South Korea,2020,Adult,99,,"Horror Movies, International Movies, Thrillers",alive horror thrillers,high
Netflix,Movie,#AnneFrank - Parallel Stories,"Sabina Fedeli, Anna Migotto","Helen Mirren, Gengher Gatti",Italy,2019,Teen,95,,"Documentaries, International Movies",annefrank parallel stories documentaries migotto,high
Netflix,Movie,#FriendButMarried,Rako Prijanto,"Adipati Dolken, Vanesha Prescilla, Rendi Jhon, Beby Tsabina, Denira Wiraguna, Refal Hady, Diandra Agatha, Sari Nila",Indonesia,2018,General,102,,"Dramas, International Movies, Romantic Movies",friendbutmarried dramas romantic prijanto,high
Netflix,Movie,#FriendButMarried 2,Rako Prijanto,"Adipati Dolken, Mawar De Jongh, Sari Nila, Vonny Cornellya, Clay Gribble, Ivan Leonardy, Sarah Sechan, Jourdy Pranata",Indonesia,2020,General,104,,"Dramas, International Movies, Romantic Movies",friendbutmarried dramas romantic prijanto,high
Amazon Prime,Movie,#Home,Rojin Thomas,"Indrans, Sreenath Bhasi, Vijay Babu, Manju Pillai, Neslin, Kainakary Thankaraj, Kpac Lalitha, Srikanth Murali, Johny Antony, Pauly Wilson, Maniyan Pillai Raju, Anoop Menon, Aju Varghese, Kiran Aravindhakshan, Chithra, Priyanka Nair",,2021,Teen,161,,Drama,home drama thomas,high
Amazon Prime,Movie,#Home (4K UHD,Rojin Thomas,"Indrans, Sreenath Bhasi, Vijay Babu, Manju Pillai, Neslin, Kainakary Thankaraj, Kpac Lalitha, Srikanth Murali, Johny Antony, Pauly Wilson, Maniyan Pillai Raju, Anoop Menon, Aju Varghese, Kiran Aravindhakshan, Chithra, Priyanka Nair",,2021,Teen,161,,Drama,home uhd drama thomas,high
Amazon Prime,TV Show,#IGotThis,,,,2020,PG,,1,Drama,igotthis drama,medium
Amazon Prime,TV Show,#IMomSoHard Live,,"Kristin Hensley, Jen Smedley",,2019,Adult,,1,"Arts, Entertainment, And Culture",imomsohard live arts entertainment culture,high
Amazon Prime,TV Show,#Lagira de #eldisco,,,,2019,General,,1,Music Videos And Concerts,lagira eldisco music videos concerts,medium
Amazon Prime,Movie,#Lucky Number,Brendan Gabriel Murphy,"Tom Pelphrey, Natalie Hall, Cliff ""Method Man"" Smith, Malcolm Goodwin, Joey Russo",,2015,Unrated,80,,Comedy,lucky number comedy murphy,high
Netflix,Movie,#Roxy,Michael Kennedy,"Jake Short, Sarah Fisher, Booboo Stewart, Danny Trejo, Pippa Mackie, Jake Smith, Patricia Zentilli, Carter Thicke",Canada,2018,Teen,105,,"Comedies, Romantic Movies",roxy comedies romantic kennedy,high
Netflix,Movie,#Rucker50,Robert McCullough Jr.,,United States,2016,PG,56,,"Documentaries, Sports Movies",rucker documentaries sports jr.,high
Netflix,Movie,#Selfie,Cristina Jacob,"Flavia Hojda, Crina Semciuc, Olimpia Melinte, Sali Levent, Vlad Logigan, Alex Călin, Alina Chivulescu, Răzvan Vasilescu",Romania,2014,Adult,125,,"Comedies, Dramas, International Movies",selfie comedies dramas jacob,high
Netflix,Movie,#Selfie 69,Cristina Jacob,"Maia Morgenstern, Olimpia Melinte, Crina Semciuc, Flavia Hojda, Maria Dinulescu, Alex Călin, Vlad Logigan, Sali Levent, Silvia Busuioc, Mihaela Mihut",Romania,2016,Adult,119,,"Comedies, Dramas, International Movies",selfie comedies dramas jacob,high
Amazon Prime,Movie,#Unfit: The Psychology of Donald Trump,Dan Partland,"George Conway, Anthony Scaramucci, Bill Kristol, Malcolm Nance, Ruth Ben-Ghiat",,2020,Teen,84,,"Documentary, Drama",unfit psychology donald trump documentary drama partland,high
Amazon Prime,TV Show,#WASHED,,"Byron Hardy, Nadirah Shakir, Ashlee Lee, Dennis Raveneau",,2020,Adult,,1,"Comedy, Drama",washed comedy drama,high
Netflix,TV Show,#blackAF,,"Kenya Barris, Rashida Jones, Iman Benson, Genneya Walton, Scarlet Spencer, Justin Claiborne, Ravi Cabot-Conyers",United States,2020,Adult,,1,Tv Comedies,blackaf comedies,high
Netflix,Movie,#cats_the_mewvie,Michael Margolis,,Canada,2020,Teen,90,,"Documentaries, International Movies",cats mewvie documentaries margolis,high
Netflix,Movie,#realityhigh,Fernando Lebrija,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis",United States,2017,Teen,99,,Comedies,realityhigh comedies lebrija,high
Hulu,TV Show,.hack//Roots,,,Japan,2006,Teen,,1,"Action, Adventure, Anime",hack roots action adventure anime,medium
Hulu,TV Show,.hack//SIGN,,,Japan,2002,Kids,,1,"Anime, Drama",hack sign anime drama,medium
Netflix,Movie,1 Chance 2 Dance,Adam Deyoe,"Lexi Giovagnoli, Justin Ray, Rae Latt, Poonam Basu, Teresa Biter, Kalilah Harris, Alexia Dox, Adam Powell, Sean Mcbride",United States,2014,PG,89,,"Dramas, Romantic Movies",chance dance dramas romantic deyoe,high
Netflix,Movie,1 Mile to You,Leif Tilden,"Billy Crudup, Graham Rogers, Liana Liberato, Stefanie Scott, Tim Roth, Melanie Lynskey, Thomas Cocquerel, Peter Coyote",United States,2017,Teen,105,,"Dramas, Romantic Movies, Sports Movies",mile you dramas romantic sports tilden,high
Amazon Prime,Movie,1 Night in San Diego,Penelope Lawson,"Laura Ashley Samuels, Jenna Ushkowitz, Alexandra Daddario",,2020,Adult,86,,Comedy,night san diego comedy lawson,high
Amazon Prime,Movie,1/2 New Year,Tom Morash,"Shanley Caswell, Jeff Dye, Rome Flynn, Marc Gordon, Alexis Iacono, John Lerardi, Afton Jillian, Brooke Lewis, Jermaine Alverez Martin, Drew Mcanany, Amy Paffrath, Ashley Platz, Matt Schulte, Rebecca Vinargo, Bo Youngblood",,2019,Adult,75,,"Comedy, Drama",new year comedy drama morash,high
Amazon Prime,Movie,10 Cent Pistol,Michael C. Martin,"Jena Malone, Jt Alexander, Damon Alexander, Joe Mantegna, Thomas Ian Nicholas",,2015,Adult,91,,"Action, Suspense",cent pistol action suspense martin,high
Amazon Prime,TV Show,10 Day Yoga for Weight Loss Challenge with Chelsey,,Chelsey Jones,,2021,Teen,,1,"Fitness, Special Interest",day yoga weight loss challenge chelsey fitness special interest,high
Netflix,Movie,10 Days in Sun City,Adze Ugah,"Ayo Makun, Adesua Etomi, Richard Mofe-Damijo, Mercy Johnson, Falz, Tuface Idibia, Thenjiwe Moseley, Motlatsi Mafatshe, Celeste Ntuli, Miguel A. Núñez Jr.","Nigeria, South Africa",2017,Teen,87,,"Comedies, International Movies, Romantic Movies",days sun city comedies romantic ugah,high
Amazon Prime,Movie,10 Endrathukulla,Vijay Milton,"Vikram, Samantha Ruth Prabhu, Pasupathy, Rahul Dev, Abhimanyu Singh",,2015,Teen,137,,"Action, Romance",endrathukulla action romance milton,high
Amazon Prime,Movie,10 Hours for Christmas,Cris D’amato,"Luis Lobianco, Giulia Benite, Pedro Miranda, Lorena Queiroz, Karina Ramil",,2020,Kids,92,,"Comedy, Kids",hours christmas comedy kids d’amato,high
Amazon Prime,Movie,10 Little Buses & More Counting Songs For Kids - KiiYii,Moonbug Entertainment,,,2020,General,31,,Kids,little buses more counting songs kids kiiyii entertainment,high
Amazon Prime,Movie,10 Minute Meditation for Sleep,Jim Wilmer,Anne-Marie Newland,,2020,General,23,,Faith And Spirituality,minute meditation sleep faith spirituality wilmer,high
Amazon Prime,Movie,10 Minutes Gone,Brian A. Miller,"Michael Chiklis, Bruce Willis, Meadow Williams, Kyle Schmid, Lydia Hull, Lala Kent, Texas Battle, Swen Temmel, John Hickman, Sergio Rizzuto, Tyler Jon Olson",,2019,Adult,88,,"Action, Adventure, Suspense",minutes gone action adventure suspense miller,high
